	GROUP	EDGE	VALUE
0	TREATED	SMAD15_BMPR	-0.11585996446122285
0	TREATED	AKT123_MAPKAP2	0.06199724874131092
0	TREATED	CJUN_JNK	0.01585495237447626
0	TREATED	AKT123_EGFR	-0.16001292559092123
0	TREATED	AKT1_EGFR	-0.10949162567881535
0	TREATED	SMAD159_BMPR	-0.015576019527381635
0	TREATED	IKBA_AKT1	0.23636794903568567
0	TREATED	CREB_P38	0.04997388800045282
0	TREATED	RB_CDC2	-0.21214996987501555
0	TREATED	MAPKAP2_P38	0.30809015164285936
0	TREATED	FAK_SRC	-0.17022825508272243
0	TREATED	RB_CDK4	-0.03764849259044406
0	TREATED	SMAD15_BMPR	-0.0535064083384017
0	TREATED	AKT123_MAPKAP2	-0.16642039128008734
0	TREATED	CJUN_JNK	-0.051200182266932334
0	TREATED	AKT123_EGFR	0.011328995106668127
0	TREATED	AKT1_EGFR	0.03682121569023815
0	TREATED	SMAD159_BMPR	-0.05331800775772591
0	TREATED	IKBA_AKT1	-0.14541206446091048
0	TREATED	CREB_P38	0.01455240861449671
0	TREATED	RB_CDC2	0.5616013533928812
0	TREATED	MAPKAP2_P38	0.22539089390447728
0	TREATED	FAK_SRC	0.09432443095840261
0	TREATED	RB_CDK4	1.4991713609066608
0	TREATED	SMAD15_BMPR	0.3334178260588233
0	TREATED	AKT123_MAPKAP2	-0.06379056211436519
0	TREATED	CJUN_JNK	0.05666306985828097
0	TREATED	AKT123_EGFR	0.029755033180170552
0	TREATED	AKT1_EGFR	-0.0020000000000000018
0	TREATED	SMAD159_BMPR	-0.40576149108773335
0	TREATED	IKBA_AKT1	0.009717895131027193
0	TREATED	CREB_P38	-0.08492990000501831
0	TREATED	RB_CDC2	-1.5855357514136408
0	TREATED	MAPKAP2_P38	-0.1335906729860754
0	TREATED	FAK_SRC	-0.050144791716082784
0	TREATED	RB_CDK4	-0.31915535897463265
0	TREATED	SMAD15_BMPR	-0.08436512200757863
0	TREATED	AKT123_MAPKAP2	0.1765578396068142
0	TREATED	CJUN_JNK	0.026936687808955438
0	TREATED	AKT123_EGFR	-0.04251613318840086
0	TREATED	AKT1_EGFR	-0.17437265261354357
0	TREATED	SMAD159_BMPR	0.1897647405409966
0	TREATED	IKBA_AKT1	-0.23341654797608138
0	TREATED	CREB_P38	-0.041982798364807436
0	TREATED	RB_CDC2	2.6288789871669076
0	TREATED	MAPKAP2_P38	0.40625767875993024
0	TREATED	FAK_SRC	-0.1833521386572987
0	TREATED	RB_CDK4	0.23349685820773347
0	TREATED	SMAD15_BMPR	0.03814467356695808
0	TREATED	AKT123_MAPKAP2	0.1394928591928834
0	TREATED	CJUN_JNK	0.0072720028249987365
0	TREATED	AKT123_EGFR	0.07995368868196004
0	TREATED	AKT1_EGFR	0.037538742902268454
0	TREATED	SMAD159_BMPR	0.22379290681526467
0	TREATED	IKBA_AKT1	-0.34344094079870646
0	TREATED	CREB_P38	0.0019999999999998144
0	TREATED	RB_CDC2	1.3652749792798988
0	TREATED	MAPKAP2_P38	0.2305640413303705
0	TREATED	FAK_SRC	0.07670798648698873
0	TREATED	RB_CDK4	-0.44549775770037026
0	TREATED	SMAD15_BMPR	-0.2348156500836547
0	TREATED	AKT123_MAPKAP2	0.06395257205388177
0	TREATED	CJUN_JNK	0.09101968934995376
0	TREATED	AKT123_EGFR	0.02695504719742563
0	TREATED	AKT1_EGFR	-0.14719908445251842
0	TREATED	SMAD159_BMPR	0.13900752733182492
0	TREATED	IKBA_AKT1	-0.03182279232250325
0	TREATED	CREB_P38	0.17419988973592043
0	TREATED	RB_CDC2	1.6051340783826602
0	TREATED	MAPKAP2_P38	0.07424546343042987
0	TREATED	FAK_SRC	-0.028012028670598425
0	TREATED	RB_CDK4	-0.6376096003351717
0	TREATED	SMAD15_BMPR	-0.2063421566491178
0	TREATED	AKT123_MAPKAP2	-0.2309446461455344
0	TREATED	CJUN_JNK	0.06913637968679524
0	TREATED	AKT123_EGFR	-0.1501198735114296
0	TREATED	AKT1_EGFR	0.1903423029331198
0	TREATED	SMAD159_BMPR	0.3177776944020855
0	TREATED	IKBA_AKT1	-0.27357912042392263
0	TREATED	CREB_P38	-0.2428174432331281
0	TREATED	RB_CDC2	-1.1848801523799157
0	TREATED	MAPKAP2_P38	0.09388746124145922
0	TREATED	FAK_SRC	-0.1885490890718508
0	TREATED	RB_CDK4	0.4242817435525013
0	TREATED	SMAD15_BMPR	0.18171349847027884
0	TREATED	AKT123_MAPKAP2	-0.031507386465272166
0	TREATED	CJUN_JNK	0.01614568623836349
0	TREATED	AKT123_EGFR	-0.010976961931550053
0	TREATED	AKT1_EGFR	0.08400847216932118
0	TREATED	SMAD159_BMPR	0.0844340885838401
0	TREATED	IKBA_AKT1	-0.4043180765099704
0	TREATED	CREB_P38	-0.142212911816104
0	TREATED	RB_CDC2	2.6085684650849235
0	TREATED	MAPKAP2_P38	-0.3202077507322654
0	TREATED	FAK_SRC	0.26972891549787137
0	TREATED	RB_CDK4	1.8184733297495317
0	TREATED	SMAD15_BMPR	-0.1420283222885255
0	TREATED	AKT123_MAPKAP2	-0.10368333308041089
0	TREATED	CJUN_JNK	-0.09886298934140032
0	TREATED	AKT123_EGFR	0.08196262319993776
0	TREATED	AKT1_EGFR	-0.04789297803210711
0	TREATED	SMAD159_BMPR	-0.14153593385425806
0	TREATED	IKBA_AKT1	0.11168196768762066
0	TREATED	CREB_P38	-0.15738367270305376
0	TREATED	RB_CDC2	0.8194127271279694
0	TREATED	MAPKAP2_P38	-0.1577009745149775
0	TREATED	FAK_SRC	-0.09391408024375664
0	TREATED	RB_CDK4	-0.6748314316964318
0	TREATED	SMAD15_BMPR	-0.022513403390233944
0	TREATED	AKT123_MAPKAP2	-0.15088283194073804
0	TREATED	CJUN_JNK	0.008620031021591782
0	TREATED	AKT123_EGFR	0.04504368995023178
0	TREATED	AKT1_EGFR	0.0983128610990007
0	TREATED	SMAD159_BMPR	-0.04195247474418343
0	TREATED	IKBA_AKT1	-0.041794953576124054
0	TREATED	CREB_P38	0.011984186486986022
0	TREATED	RB_CDC2	-1.1904993757480258
0	TREATED	MAPKAP2_P38	0.02996873306080015
0	TREATED	FAK_SRC	0.14332242867726042
0	TREATED	RB_CDK4	0.6881735791888826
0	TREATED	SMAD15_BMPR	-0.14054496653862247
0	TREATED	AKT123_MAPKAP2	0.06756438487192036
0	TREATED	CJUN_JNK	-0.04546227962205125
0	TREATED	AKT123_EGFR	0.12028975026308375
0	TREATED	AKT1_EGFR	-0.1736118382706654
0	TREATED	SMAD159_BMPR	-0.07638566770547547
0	TREATED	IKBA_AKT1	0.5243153929353357
0	TREATED	CREB_P38	0.2623543172001015
0	TREATED	RB_CDC2	1.5687577415277585
0	TREATED	MAPKAP2_P38	-0.048073702105618954
0	TREATED	FAK_SRC	-0.01876743105779547
0	TREATED	RB_CDK4	-0.11549372111309275
0	TREATED	SMAD15_BMPR	-0.044078748533566345
0	TREATED	AKT123_MAPKAP2	-0.0020000000000000018
0	TREATED	CJUN_JNK	0.002000000000000548
0	TREATED	AKT123_EGFR	-0.0765272194539098
0	TREATED	AKT1_EGFR	0.23967377369621734
0	TREATED	SMAD159_BMPR	-0.07755929415225732
0	TREATED	IKBA_AKT1	-0.027654615408043044
0	TREATED	CREB_P38	0.10204950556392012
0	TREATED	RB_CDC2	1.3261618399794197
0	TREATED	MAPKAP2_P38	0.0036247048543534277
0	TREATED	FAK_SRC	-0.09465529738890144
0	TREATED	RB_CDK4	-0.09992610474339331
0	TREATED	SMAD15_BMPR	-0.31152293286325283
0	TREATED	AKT123_MAPKAP2	-0.13479958163178696
0	TREATED	CJUN_JNK	-0.03449236300457015
0	TREATED	AKT123_EGFR	-0.04520158596757999
0	TREATED	AKT1_EGFR	0.12508457825972769
0	TREATED	SMAD159_BMPR	0.21187464482957413
0	TREATED	IKBA_AKT1	0.1891292154748781
0	TREATED	CREB_P38	0.3164196052653404
0	TREATED	RB_CDC2	-0.3992408775936096
0	TREATED	MAPKAP2_P38	0.039029409249664124
0	TREATED	FAK_SRC	-0.17129591467026417
0	TREATED	RB_CDK4	-0.5131521404899261
0	TREATED	SMAD15_BMPR	-0.015143770845498228
0	TREATED	AKT123_MAPKAP2	-0.04511429540020581
0	TREATED	CJUN_JNK	-0.012538353269382385
0	TREATED	AKT123_EGFR	0.02469917346528868
0	TREATED	AKT1_EGFR	0.16508102637322428
0	TREATED	SMAD159_BMPR	0.09064628656248055
0	TREATED	IKBA_AKT1	0.004113461594067683
0	TREATED	CREB_P38	-0.1666139302940564
0	TREATED	RB_CDC2	-0.5067983624493537
0	TREATED	MAPKAP2_P38	0.2094484419070381
0	TREATED	FAK_SRC	-0.17937212577105816
0	TREATED	RB_CDK4	0.04921141739573692
0	TREATED	SMAD15_BMPR	0.05017082153612287
0	TREATED	AKT123_MAPKAP2	-0.04957303127171647
0	TREATED	CJUN_JNK	-0.06071650107993126
0	TREATED	AKT123_EGFR	0.06434997395725718
0	TREATED	AKT1_EGFR	0.050044309360487496
0	TREATED	SMAD159_BMPR	0.31997867173068273
0	TREATED	IKBA_AKT1	0.04697845626952339
0	TREATED	CREB_P38	-0.01611089967689131
0	TREATED	RB_CDC2	-1.328884309027436
0	TREATED	MAPKAP2_P38	0.04289722281580115
0	TREATED	FAK_SRC	-0.09054965356753576
0	TREATED	RB_CDK4	0.7799930720483391
