"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_5_213","ITGB1_98",7995,3163,0.485838779956427,"AG1478",68,"AG1478_68","plate_5",213,"F",3,"ITGB1",98
"plate_6_213","ITGB1_98",6422,2813,0.401113531832486,"AG1478",69,"AG1478_69","plate_6",213,"F",3,"ITGB1",98
"plate_2_235","ITGB1_98",23602,4301,0.761316872427984,"vehicle",40,"vehicle_40","plate_2",235,"H",1,"ITGB1",98
"plate_6_235","ITGB1_98",6676,2023,0.209876543209877,"AG1478",70,"AG1478_70","plate_6",235,"H",1,"ITGB1",98
"plate_1_176","ITGB1_98",6317,2654,0.362624061970467,"AG1478",71,"AG1478_71","plate_1",176,"C",2,"ITGB1",98
"plate_2_176","ITGB1_98",3465,1974,0.198015008472525,"AG1478",72,"AG1478_72","plate_2",176,"C",2,"ITGB1",98
"plate_3_176","ITGB1_98",15625,4850,0.894214475913822,"vehicle",41,"vehicle_41","plate_3",176,"C",2,"ITGB1",98
"plate_5_176","ITGB1_98",9522,3555,0.580731057855241,"AG1478",73,"AG1478_73","plate_5",176,"C",2,"ITGB1",98
"plate_1_231","ITGB1_98",5486,1816,0.159767610748003,"AG1478",74,"AG1478_74","plate_1",231,"G",9,"ITGB1",98
"plate_2_231","ITGB1_98",4919,2394,0.299685306221254,"AG1478",75,"AG1478_75","plate_2",231,"G",9,"ITGB1",98
"plate_3_231","ITGB1_98",28670,4251,0.749213265553135,"vehicle",42,"vehicle_42","plate_3",231,"G",9,"ITGB1",98
"plate_5_231","ITGB1_98",18401,3894,0.662793512466715,"vehicle",43,"vehicle_43","plate_5",231,"G",9,"ITGB1",98
"plate_6_231","ITGB1_98",16932,4268,0.753328491890583,"vehicle",44,"vehicle_44","plate_6",231,"G",9,"ITGB1",98
"plate_1_205","ITGB1_98",13924,3446,0.554345194868071,"vehicle",45,"vehicle_45","plate_1",205,"E",7,"ITGB1",98
"plate_2_205","ITGB1_98",3863,2578,0.344226579520697,"AG1478",76,"AG1478_76","plate_2",205,"E",7,"ITGB1",98
"plate_6_205","ITGB1_98",6088,3843,0.650447833454369,"vehicle",46,"vehicle_46","plate_6",205,"E",7,"ITGB1",98
"plate_1_241","ITGB1_98",8075,2146,0.239651416122004,"AG1478",77,"AG1478_77","plate_1",241,"H",7,"ITGB1",98
"plate_4_241","ITGB1_98",9371,2802,0.398450738320019,"AG1478",78,"AG1478_78","plate_4",241,"H",7,"ITGB1",98
"plate_6_241","ITGB1_98",10223,2543,0.335754054708303,"AG1478",79,"AG1478_79","plate_6",241,"H",7,"ITGB1",98
"plate_3_206","ITGB1_98",31808,4640,0.843379327039458,"vehicle",47,"vehicle_47","plate_3",206,"E",8,"ITGB1",98
"plate_5_206","ITGB1_98",6095,2523,0.330912611958364,"AG1478",80,"AG1478_80","plate_5",206,"E",8,"ITGB1",98
"plate_3_216","ITGB1_98",19227,3287,0.515855725006052,"AG1478",81,"AG1478_81","plate_3",216,"F",6,"ITGB1",98
"plate_1_165","ITGB1_98",49213,4333,0.769063180827887,"vehicle",48,"vehicle_48","plate_1",165,"B",3,"ITGB1",98
"plate_5_165","ITGB1_98",38142,4027,0.694989106753813,"vehicle",49,"vehicle_49","plate_5",165,"B",3,"ITGB1",98
"plate_1_230","ITGB1_98",34049,4359,0.775357056402808,"vehicle",50,"vehicle_50","plate_1",230,"G",8,"ITGB1",98
"plate_2_230","ITGB1_98",11627,2674,0.367465504720407,"AG1478",82,"AG1478_82","plate_2",230,"G",8,"ITGB1",98
"plate_4_230","ITGB1_98",13654,2433,0.309126119583636,"AG1478",83,"AG1478_83","plate_4",230,"G",8,"ITGB1",98
"plate_1_203","ITGB1_98",12992,3947,0.675623335754055,"vehicle",51,"vehicle_51","plate_1",203,"E",5,"ITGB1",98
"plate_2_203","ITGB1_98",9393,3434,0.551440329218107,"vehicle",52,"vehicle_52","plate_2",203,"E",5,"ITGB1",98
"plate_5_203","ITGB1_98",6039,2991,0.444202372306947,"AG1478",84,"AG1478_84","plate_5",203,"E",5,"ITGB1",98
