sample_id	ab_id	treatment	ab_count_raw	ab_count_subsampled	ab_count_clr	uniquenr	treatment_uniquenr	sample_folder	well_name	plate_row	plate_column	ab_name	ab_barcode	normfactor	lib_size	ab_count_tmm
plate_3_166	TGM1_79	vehicle	76	33	-0.5925342248818088	22	vehicle_22	plate_3	166	B	4	TGM1	79	1.028351085941911	25970	0.004007728199390774
plate_2_167	TGM1_79	AG1478	47	20	-0.7157070512762527	42	AG1478_42	plate_2	167	B	5	TGM1	79	0.9068236331267904	21258	0.004256598735128236
plate_3_167	TGM1_79	AG1478	955	404	2.2794840684078475	43	AG1478_43	plate_3	167	B	5	TGM1	79	0.8800198263376441	20558	0.05394932878996034
plate_4_167	TGM1_79	AG1478	81	23	-0.6503165722808602	44	AG1478_44	plate_4	167	B	5	TGM1	79	1.0712580647326313	29459	0.0027849539733194083
plate_6_167	TGM1_79	AG1478	208	66	0.13618507127952917	45	AG1478_45	plate_6	167	B	5	TGM1	79	1.0283542084926676	32977	0.006159489522079473
plate_1_192	TGM1_79	vehicle	177	38	-0.33326001447708276	23	vehicle_23	plate_1	192	D	6	TGM1	79	0.9515302780837223	46182	0.002163058178062301
plate_2_192	TGM1_79	vehicle	110	25	-0.7388426987902772	24	vehicle_24	plate_2	192	D	6	TGM1	79	1.108889917310961	39901	0.004304603243060797
plate_3_192	TGM1_79	AG1478	56	29	-0.8058446190127935	46	AG1478_46	plate_3	192	D	6	TGM1	79	1.0951080709700247	23414	0.0033459694266161685
plate_4_192	TGM1_79	AG1478	116	43	-0.12136105669200248	47	AG1478_47	plate_4	192	D	6	TGM1	79	1.0460711840964194	24429	0.004757589687384472
plate_1_188	TGM1_79	AG1478	216	35	-0.17865212803708808	48	AG1478_48	plate_1	188	D	2	TGM1	79	0.9198307721861241	51318	0.0027110607139719124
plate_2_188	TGM1_79	AG1478	67	22	-0.41267686883667754	49	AG1478_49	plate_2	188	D	2	TGM1	79	0.9577468813533035	21317	0.005100185652712048
plate_4_188	TGM1_79	AG1478	628	222	1.5130744684917286	50	AG1478_50	plate_4	188	D	2	TGM1	79	1.0154995129658644	26160	0.023857979137649508
plate_5_188	TGM1_79	AG1478	175	29	-0.2650010184374416	51	AG1478_51	plate_5	188	D	2	TGM1	79	0.9428175377703897	48540	0.0024640819166413305
plate_1_191	TGM1_79	vehicle	233	35	-0.28673584890983417	25	vehicle_25	plate_1	191	D	5	TGM1	79	0.8587676707017777	67450	0.0021576858851476604
plate_3_191	TGM1_79	vehicle	161	26	-0.9821050626945532	26	vehicle_26	plate_3	191	D	5	TGM1	79	0.8598099679860952	94359	0.0031464049372695166
plate_4_191	TGM1_79	vehicle	85	31	-0.5187097907341673	27	vehicle_27	plate_4	191	D	5	TGM1	79	0.9501525269794507	28967	0.0033065854242897734
plate_6_191	TGM1_79	vehicle	219	38	-0.12670734760257485	28	vehicle_28	plate_6	191	D	5	TGM1	79	0.8893217664696776	54333	0.004558303943540145
plate_1_189	TGM1_79	AG1478	831	315	1.7299594312579432	52	AG1478_52	plate_1	189	D	3	TGM1	79	1.0482463078539412	25616	0.02908272198844545
plate_3_184	TGM1_79	vehicle	73	21	-1.00544508184693	29	vehicle_29	plate_3	184	C	10	TGM1	79	1.0021685782535872	36687	0.0031474552909486458
plate_2_170	TGM1_79	vehicle	59	30	-0.6058993874798366	30	vehicle_30	plate_2	170	B	8	TGM1	79	0.917346284266218	22605	0.0046637016321097145
plate_3_170	TGM1_79	AG1478	303	142	1.1251809341820105	53	AG1478_53	plate_3	170	B	8	TGM1	79	1.0174049080559573	18506	0.01725492685442759
plate_1_179	TGM1_79	vehicle	405	35	-0.3140505695618758	31	vehicle_31	plate_1	179	C	5	TGM1	79	0.9845297979523473	101600	0.002184022361883196
plate_2_179	TGM1_79	AG1478	328	75	0.32275240524535764	54	AG1478_54	plate_2	179	C	5	TGM1	79	1.0521005269662331	43286	0.009020758390081974
plate_4_179	TGM1_79	AG1478	156	57	0.00474255124629507	55	AG1478_55	plate_4	179	C	5	TGM1	79	0.975006357359101	29003	0.005734901673928779
plate_5_179	TGM1_79	AG1478	3128	940	2.5521279704729993	56	AG1478_56	plate_5	179	C	5	TGM1	79	1.267192657069371	36371	0.06650874024107169
plate_6_179	TGM1_79	AG1478	799	108	0.9499158924973204	57	AG1478_57	plate_6	179	C	5	TGM1	79	0.9755233007679965	62488	0.01313325200703661
plate_5_153	TGM1_79	vehicle	250	32	-0.4694196563615112	32	vehicle_32	plate_5	153	A	3	TGM1	79	1.0504775726245477	75009	0.0018129250246504407
plate_6_153	TGM1_79	AG1478	1279	408	1.5211205386809858	58	AG1478_58	plate_6	153	A	3	TGM1	79	1.5824389125930993	32293	0.02505449576066184
plate_1_175	TGM1_79	AG1478	142	58	0.2503213593680318	59	AG1478_59	plate_1	175	C	1	TGM1	79	0.9173790215205901	22974	0.00487272955518853
plate_2_175	TGM1_79	AG1478	72	15	-0.6927519152495591	60	AG1478_60	plate_2	175	C	1	TGM1	79	0.9842304595306326	29553	0.004293828290220691
plate_3_175	TGM1_79	AG1478	67	28	-0.4722736799104083	61	AG1478_61	plate_3	175	C	1	TGM1	79	0.8876394955726866	23324	0.0043981538478634705
plate_5_175	TGM1_79	vehicle	54	25	-0.47043587798312814	33	vehicle_33	plate_5	175	C	1	TGM1	79	0.7711858720469643	20022	0.002137400337944231
plate_3_237	TGM1_79	vehicle	78	16	-1.039454710455873	34	vehicle_34	plate_3	237	H	3	TGM1	79	0.8697427462585285	48986	0.0029927170111629115
plate_4_237	TGM1_79	AG1478	188	36	-0.3622466058558045	62	AG1478_62	plate_4	237	H	3	TGM1	79	1.1752340846065072	43687	0.0038799542076417377
plate_6_237	TGM1_79	AG1478	96	29	-0.32937698633818613	63	AG1478_63	plate_6	237	H	3	TGM1	79	1.0045686575034065	27485	0.00350290347171386
plate_3_182	TGM1_79	vehicle	58	21	-1.2690078315690574	35	vehicle_35	plate_3	182	C	8	TGM1	79	0.7757871391561878	47416	0.002738696868616924
plate_5_182	TGM1_79	vehicle	245	36	-0.23069818829208175	36	vehicle_36	plate_5	182	C	8	TGM1	79	0.9719219133891216	61808	0.002718547726631819
plate_1_222	TGM1_79	AG1478	124	54	0.09999944269188354	64	AG1478_64	plate_1	222	F	12	TGM1	79	0.9620986382702543	21103	0.004242586648706794
plate_2_222	TGM1_79	AG1478	27	18	-0.8777824874299336	65	AG1478_65	plate_2	222	F	12	TGM1	79	1.090102765859866	12152	0.0038567007801403844
plate_4_222	TGM1_79	AG1478	78	46	-0.24124163300485968	66	AG1478_66	plate_4	222	F	12	TGM1	79	1.0390424033507557	18459	0.004285070199939742
plate_5_222	TGM1_79	vehicle	157	46	-0.28444684867650416	37	vehicle_37	plate_5	222	F	12	TGM1	79	0.9450384430196755	43020	0.0025018568502116183
plate_2_221	TGM1_79	AG1478	99	41	-0.37252214362100133	67	AG1478_67	plate_2	221	F	11	TGM1	79	1.0397159340582955	26571	0.0054020352959497165
plate_1_213	TGM1_79	vehicle	316	47	0.06693105139015465	38	vehicle_38	plate_1	213	F	3	TGM1	79	0.81620040811317	69407	0.0037132743218002973
plate_3_213	TGM1_79	vehicle	475	43	-0.2411365061891395	39	vehicle_39	plate_3	213	F	3	TGM1	79	0.8712054324039047	129851	0.005360779981726293
plate_5_213	TGM1_79	AG1478	119	43	0.03438708804269019	68	AG1478_68	plate_5	213	F	3	TGM1	79	0.9505971524135756	23268	0.004020258834020418
plate_6_213	TGM1_79	AG1478	68	23	-0.4699089576022892	69	AG1478_69	plate_6	213	F	3	TGM1	79	0.9940422718095139	22007	0.003134419313091504
plate_2_235	TGM1_79	vehicle	122	28	-0.6726073067422567	40	vehicle_40	plate_2	235	H	1	TGM1	79	0.8341740578026339	52292	0.004615334279583111
plate_6_235	TGM1_79	AG1478	913	305	1.6363322769708608	70	AG1478_70	plate_6	235	H	1	TGM1	79	1.056734788321084	30168	0.0286650007365478
