POPULATIONS	DIFFERENCE_RMSE	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
WT_BRAF	0.04860538128894682	0.2	250	0.025	18	13	MRA	WT:wt_braf	0	NO_THETA	0.0011845737972681573
WT_BRAF	0.08134947382798384	0.5	250	0.07500000000000001	18	13	MRA	WT:wt_braf	0	NO_THETA	0.00503546927972345
WT_BRAF	0.013378499654568783	0.0	250	0.0125	19	13	MRA	WT:wt_braf	0	NO_THETA	0.00014327171903054164
WT_BRAF	0.07054370648160767	0.2	250	0.025	19	13	MRA	WT:wt_braf	0	NO_THETA	0.0011147256718988324
WT_BRAF	0.07075413431196102	0.5	250	0.1	19	13	MRA	WT:wt_braf	0	NO_THETA	0.0058053169407336035
WT_RAS	0.051085609270086554	0.0	250	0.0125	0	13	MRA	WT:wt_ras	0	NO_THETA	7.686712705403466e-05
WT_RAS	0.06725423352740048	0.2	250	0.025	0	13	MRA	WT:wt_ras	0	NO_THETA	0.0011584701733294057
WT_RAS	0.15750838839293904	0.5	250	0.1158203125	0	13	MRA	WT:wt_ras	0	NO_THETA	0.006302787483851887
WT_RAS	0.05082555528782663	0.0	250	0.0125	1	13	MRA	WT:wt_ras	0	NO_THETA	6.639229098978625e-05
WT_RAS	0.06776829327887665	0.2	250	0.025	1	13	MRA	WT:wt_ras	0	NO_THETA	0.0011779181845613807
WT_RAS	0.15198334358095153	0.5	250	0.1	1	13	MRA	WT:wt_ras	0	NO_THETA	0.0057045779620872395
WT_RAS	0.04594864607907932	0.0	250	0.0125	2	13	MRA	WT:wt_ras	0	NO_THETA	0.00011520884765087898
WT_RAS	0.03985429673216241	0.2	250	0.03125	2	13	MRA	WT:wt_ras	0	NO_THETA	0.0010999419767543258
WT_RAS	0.1123820268111572	0.5	250	0.1	2	13	MRA	WT:wt_ras	0	NO_THETA	0.005531751592991959
WT_RAS	0.05767516156842921	0.0	250	0.0125	3	13	MRA	WT:wt_ras	0	NO_THETA	7.97712947954255e-05
WT_RAS	0.07564889964737526	0.2	250	0.018750000000000003	3	13	MRA	WT:wt_ras	0	NO_THETA	0.0011058084129811835
WT_RAS	0.1163653749610538	0.5	250	0.09375	3	13	MRA	WT:wt_ras	0	NO_THETA	0.005908028128238401
WT_RAS	0.044027271165139166	0.0	250	0.0125	4	13	MRA	WT:wt_ras	0	NO_THETA	0.00010110588029966415
WT_RAS	0.06375299521747332	0.2	250	0.010156250000000002	4	13	MRA	WT:wt_ras	0	NO_THETA	0.0010309674395326286
WT_RAS	0.13319303605759147	0.5	250	0.128125	4	13	MRA	WT:wt_ras	0	NO_THETA	0.005471875976355529
WT_RAS	0.05230388010255517	0.0	250	0.0125	5	13	MRA	WT:wt_ras	0	NO_THETA	0.00010024980153190603
WT_RAS	0.06470307368529896	0.2	250	0.018750000000000003	5	13	MRA	WT:wt_ras	0	NO_THETA	0.0011596974024051514
WT_RAS	0.13146821173233317	0.5	250	0.1	5	13	MRA	WT:wt_ras	0	NO_THETA	0.005857740972978517
WT_RAS	0.06127822693355321	0.0	250	0.00625	6	13	MRA	WT:wt_ras	0	NO_THETA	8.641153344553412e-05
WT_RAS	0.06872511431904317	0.2	250	0.025	6	13	MRA	WT:wt_ras	0	NO_THETA	0.0012172684584706248
WT_RAS	0.11975188573865228	0.5	250	0.1	6	13	MRA	WT:wt_ras	0	NO_THETA	0.005606977230527822
WT_RAS	0.05553115222377085	0.0	250	0.0125	7	13	MRA	WT:wt_ras	0	NO_THETA	6.621719642346136e-05
WT_RAS	0.07176698699697352	0.2	250	0.025	7	13	MRA	WT:wt_ras	0	NO_THETA	0.0011904705234259318
WT_RAS	0.1382473250795501	0.5	250	0.1	7	13	MRA	WT:wt_ras	0	NO_THETA	0.005870516377016176
WT_RAS	0.05156086916709519	0.0	250	0.00625	8	13	MRA	WT:wt_ras	0	NO_THETA	6.663529437625277e-05
WT_RAS	0.06935825162223727	0.2	250	0.021875000000000002	8	13	MRA	WT:wt_ras	0	NO_THETA	0.0011701164431706307
WT_RAS	0.1375345343715757	0.5	250	0.1	8	13	MRA	WT:wt_ras	0	NO_THETA	0.006680749632990354
WT_RAS	0.04617063849935247	0.0	250	0.0125	9	13	MRA	WT:wt_ras	0	NO_THETA	9.557397083886759e-05
WT_RAS	0.07088425000903552	0.2	250	0.025	9	13	MRA	WT:wt_ras	0	NO_THETA	0.0011524067149054635
WT_RAS	0.13473916234207536	0.5	250	0.12109375	9	13	MRA	WT:wt_ras	0	NO_THETA	0.006839471872002224
WT_RAS	0.03181688784269999	0.0	250	0.00625	10	13	MRA	WT:wt_ras	0	NO_THETA	6.440485636939089e-05
WT_RAS	0.08912373274781354	0.2	250	0.025	10	13	MRA	WT:wt_ras	0	NO_THETA	0.0011566084994390755
WT_RAS	0.1170147271410158	0.5	250	0.12109375	10	13	MRA	WT:wt_ras	0	NO_THETA	0.005753446477816857
WT_RAS	0.040311550571479914	0.0	250	0.0125	11	13	MRA	WT:wt_ras	0	NO_THETA	8.552433885958341e-05
WT_RAS	0.07592867221946198	0.2	250	0.025	11	13	MRA	WT:wt_ras	0	NO_THETA	0.0010430944375872655
WT_RAS	0.08040393227512486	0.5	250	0.08750000000000001	11	13	MRA	WT:wt_ras	0	NO_THETA	0.005263071328293269
WT_RAS	0.05416264804992276	0.0	250	0.00625	12	13	MRA	WT:wt_ras	0	NO_THETA	0.00011495711401689867
WT_RAS	0.07488566477122344	0.2	250	0.0125	12	13	MRA	WT:wt_ras	0	NO_THETA	0.0010816782505052042
WT_RAS	0.15658091479344638	0.5	250	0.104833984375	12	13	MRA	WT:wt_ras	0	NO_THETA	0.005882173881754409
WT_RAS	0.0586849705046516	0.0	250	0.0125	13	13	MRA	WT:wt_ras	0	NO_THETA	0.00010471522575806382
WT_RAS	0.07394286925010311	0.2	250	0.025	13	13	MRA	WT:wt_ras	0	NO_THETA	0.001125769175571643
WT_RAS	0.1482239425022608	0.5	250	0.128125	13	13	MRA	WT:wt_ras	0	NO_THETA	0.005969578904223847
WT_RAS	0.04165081544243172	0.0	250	0.00625	14	13	MRA	WT:wt_ras	0	NO_THETA	6.765904891835516e-05
WT_RAS	0.056599599025446465	0.2	250	0.018750000000000003	14	13	MRA	WT:wt_ras	0	NO_THETA	0.0011528635578361458
WT_RAS	0.09464093985566518	0.5	250	0.1140625	14	13	MRA	WT:wt_ras	0	NO_THETA	0.0055389519319377885
WT_RAS	0.03615177835818921	0.0	250	0.00625	15	13	MRA	WT:wt_ras	0	NO_THETA	8.122820909098326e-05
WT_RAS	0.06044168004899347	0.2	250	0.0171875	15	13	MRA	WT:wt_ras	0	NO_THETA	0.0010765857636472072
