POPULATIONS	rloc	value	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	Sos_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Ras_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Raf1_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Mek_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Erk_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	P90Rsk_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	PI3K_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Akt_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	C3G_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Rap1_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	bRaf_P90Rsk	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Sos_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Ras_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Raf1_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Mek_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Erk_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	P90Rsk_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	PI3K_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Akt_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	C3G_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Rap1_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	bRaf_PI3K	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Sos_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Ras_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Raf1_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Mek_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Erk_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	P90Rsk_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	PI3K_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Akt_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
