SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.034 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.010.01 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.034 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.0310.031 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.0090.009 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.0190.019 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=5, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.025 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.0110.011 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.05 diff Edges: 2 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=6, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.034 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.0110.011 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.05 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=7, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.025 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.0070.007 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.05 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.0220.022 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=8, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.026 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=9, etas: 0.0470.047 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.034 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=10, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.031 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.0110.011 edges: 14
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.05 diff Edges: 2 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=11, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.034 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.025 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=12, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.025 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.0090.009 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=13, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.025 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.0110.011 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.0190.019 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=14, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.025 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.0160.016 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.0170.017 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=15, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=16, etas: 0.05 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=16, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=16, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=16, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=16, etas: 0.0250.025 edges: 13
