NOISE	PERT	MISS	ETA	REPEAT	CELLNUM	MISSNAMES	PERTNAMES	EDGENUM	TPR	FPR	EDGES	RMSE	PRECISION	RECALL
0.2	0	11	0.43750000000000006	8	1000	,Raf1,Erk,Mek,Sos,Ras,Akt,Rap1,PI3K,bRaf,P90Rsk,C3G		13	0.5384615384615384	0.061855670103092786	15	0.22682960561800197	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	9	1000			13	0.8461538461538461	0.020618556701030927	13	0.08237595709312748	0.8461538461538461	0.8461538461538461
0.2	0	3	0.1	9	1000	,C3G,Ras,Sos		13	0.7692307692307693	0.030927835051546393	13	0.15037273070676835	0.7692307692307693	0.7692307692307693
0.2	0	6	0.1	9	1000	,C3G,Ras,Sos,Erk,Rap1,Raf1		13	0.7692307692307693	0.030927835051546393	13	0.14962403147486045	0.7692307692307693	0.7692307692307693
0.2	0	11	0.43750000000000006	9	1000	,C3G,Ras,Sos,Erk,Rap1,Raf1,bRaf,Mek,P90Rsk,Akt,PI3K		13	0.5384615384615384	0.061855670103092786	14	0.2235624369838465	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	10	1000			13	0.8461538461538461	0.020618556701030927	13	0.07372132882381884	0.8461538461538461	0.8461538461538461
0.2	0	3	0.15625	10	1000	,Ras,C3G,Erk		13	0.7692307692307693	0.030927835051546393	13	0.11709986635611776	0.7692307692307693	0.7692307692307693
0.2	0	6	0.21250000000000002	10	1000	,Ras,C3G,Erk,Akt,Sos,Raf1		13	0.6153846153846154	0.05154639175257732	13	0.19844856355331011	0.6153846153846154	0.6153846153846154
0.2	0	11	0.46562500000000007	10	1000	,Ras,C3G,Erk,Akt,Sos,Raf1,bRaf,Mek,PI3K,Rap1,P90Rsk		13	0.5384615384615384	0.061855670103092786	17	0.22130689706287696	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	11	1000			13	0.8461538461538461	0.020618556701030927	13	0.07941499239713708	0.8461538461538461	0.8461538461538461
0.2	0	3	0.1	11	1000	,Sos,Ras,Erk		13	0.7692307692307693	0.030927835051546393	13	0.13105759824482222	0.7692307692307693	0.7692307692307693
0.2	0	6	0.15625	11	1000	,Sos,Ras,Erk,Akt,bRaf,P90Rsk		13	0.6153846153846154	0.05154639175257732	13	0.18422691869495764	0.6153846153846154	0.6153846153846154
0.2	0	11	0.4515625000000001	11	1000	,Sos,Ras,Erk,Akt,bRaf,P90Rsk,C3G,Rap1,Mek,Raf1,PI3K		13	0.5384615384615384	0.061855670103092786	15	0.22556307744491738	0.5384615384615384	0.5384615384615384
0.2	0	0	0.06171875	12	1000			13	0.8461538461538461	0.020618556701030927	13	0.06664886274784801	0.8461538461538461	0.8461538461538461
0.2	0	3	0.15625	12	1000	,C3G,Raf1,Akt		13	0.6923076923076923	0.041237113402061855	13	0.16335567251897293	0.6923076923076923	0.6923076923076923
