	sample_id	treatment	ab_count_tmm	ab_name
487	plate_2_194	AG1478	0.0027513723757572	MAPK-p38-p2
488	plate_3_194	AG1478	0.0031587414729311	MAPK-p38-p2
489	plate_4_194	AG1478	0.003349704124803	MAPK-p38-p2
490	plate_5_194	AG1478	0.0031959225194287	MAPK-p38-p2
491	plate_1_227	AG1478	0.0040011150520312	MAPK-p38-p2
492	plate_3_227	vehicle	0.0035717957210107	MAPK-p38-p2
493	plate_6_227	vehicle	0.003518170412747	MAPK-p38-p2
494	plate_3_200	AG1478	0.0030905006358798	MAPK-p38-p2
495	plate_4_200	vehicle	0.0037690449667112	MAPK-p38-p2
496	plate_5_200	AG1478	0.003187659914872	MAPK-p38-p2
498	plate_5_163	AG1478	0.0036061843973926	MAPK-p38-p2
499	plate_3_217	AG1478	0.0033040557419362	MAPK-p38-p2
500	plate_5_217	AG1478	0.0035939482201647	MAPK-p38-p2
501	plate_6_217	vehicle	0.0033461621517547	MAPK-p38-p2
502	plate_4_195	AG1478	0.0035970724517585	MAPK-p38-p2
503	plate_6_195	vehicle	0.0026692443185825	MAPK-p38-p2
504	plate_1_160	AG1478	0.002537213232084	MAPK-p38-p2
505	plate_4_160	AG1478	0.0033310512652494	MAPK-p38-p2
506	plate_5_160	vehicle	0.0031611934331535	MAPK-p38-p2
507	plate_6_160	AG1478	0.0030735848322689	MAPK-p38-p2
510	plate_2_226	AG1478	0.0030080702786682	MAPK-p38-p2
511	plate_4_226	vehicle	0.003892794513103	MAPK-p38-p2
512	plate_5_226	AG1478	0.004076602289733	MAPK-p38-p2
517	plate_1_162	vehicle	0.0030432765548443	MAPK-p38-p2
518	plate_4_162	vehicle	0.0029429506794808	MAPK-p38-p2
520	plate_2_152	vehicle	0.0036345590113573	MAPK-p38-p2
525	plate_2_164	AG1478	0.0032876025640602	MAPK-p38-p2
526	plate_3_164	vehicle	0.0033624420261869	MAPK-p38-p2
527	plate_1_158	AG1478	0.0041827575882536	MAPK-p38-p2
528	plate_4_158	AG1478	0.0031792889888819	MAPK-p38-p2
529	plate_5_158	vehicle	0.0030414236393384	MAPK-p38-p2
530	plate_2_225	vehicle	0.0031815710301289	MAPK-p38-p2
531	plate_3_225	vehicle	0.0034979436497757	MAPK-p38-p2
533	plate_1_215	vehicle	0.0041743851102387	MAPK-p38-p2
534	plate_2_215	AG1478	0.0020875237861222	MAPK-p38-p2
535	plate_4_215	AG1478	0.0035265002553779	MAPK-p38-p2
536	plate_5_215	AG1478	0.0031739726021085	MAPK-p38-p2
537	plate_6_215	vehicle	0.0035602192632304	MAPK-p38-p2
538	plate_1_196	vehicle	0.0034595274980461	MAPK-p38-p2
539	plate_6_196	vehicle	0.0034731099929769	MAPK-p38-p2
540	plate_3_207	AG1478	0.0029929231782266	MAPK-p38-p2
541	plate_4_207	vehicle	0.0038778153899149	MAPK-p38-p2
542	plate_6_207	AG1478	0.0036958803396435	MAPK-p38-p2
544	plate_1_199	vehicle	0.0030758998596874	MAPK-p38-p2
545	plate_3_199	vehicle	0.0030392432806627	MAPK-p38-p2
547	plate_1_197	AG1478	0.0036094674577456	MAPK-p38-p2
550	plate_3_229	AG1478	0.002900097489242	MAPK-p38-p2
551	plate_4_229	AG1478	0.0036130661186518	MAPK-p38-p2
552	plate_6_229	vehicle	0.0030244489031513	MAPK-p38-p2
553	plate_1_233	vehicle	0.0030728685884354	MAPK-p38-p2
554	plate_3_233	AG1478	0.0024253078734003	MAPK-p38-p2
555	plate_4_233	AG1478	0.0034648601994977	MAPK-p38-p2
556	plate_5_233	AG1478	0.0028477282676243	MAPK-p38-p2
558	plate_1_234	vehicle	0.0029886876101887	MAPK-p38-p2
560	plate_3_234	AG1478	0.0030544896078782	MAPK-p38-p2
561	plate_2_193	vehicle	0.0032671526212393	MAPK-p38-p2
562	plate_4_193	AG1478	0.0032007187746612	MAPK-p38-p2
564	plate_1_171	vehicle	0.0013884554770548	PLC-g2-p
565	plate_5_171	vehicle	0.0017200600735016	PLC-g2-p
566	plate_6_171	vehicle	0.0013988444551059	PLC-g2-p
567	plate_1_169	vehicle	0.0016428742491667	PLC-g2-p
570	plate_6_169	vehicle	0.0012226479019828	PLC-g2-p
571	plate_4_172	AG1478	0.0015542704266992	PLC-g2-p
572	plate_5_172	AG1478	0.0018698898067473	PLC-g2-p
574	plate_3_186	AG1478	0.0020611055361431	PLC-g2-p
575	plate_5_186	AG1478	0.0018317851931978	PLC-g2-p
576	plate_1_156	AG1478	0.0018081871869949	PLC-g2-p
577	plate_3_156	AG1478	0.0009498786782966542	PLC-g2-p
579	plate_5_156	AG1478	0.0015387667575537	PLC-g2-p
581	plate_2_154	AG1478	0.0025508113693065	PLC-g2-p
582	plate_4_154	AG1478	0.0017865645556556	PLC-g2-p
583	plate_5_154	vehicle	0.0016479462338978	PLC-g2-p
584	plate_1_155	AG1478	0.0017693532112264	PLC-g2-p
585	plate_2_155	vehicle	0.0012723887199415	PLC-g2-p
586	plate_6_155	AG1478	0.0015721434982663	PLC-g2-p
